ID,Name,Category,Date,Value,Description
1,Item 1,Category C,2022-01-03,87.76,"Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat."
2,Item 2,Category C,2020-06-02,7.27,Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.
3,Item 3,Category A,2022-01-13,59.9,Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.
4,Item 4,Category C,2023-12-14,68.15,"Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
5,Item 5,Category B,2020-08-10,50.97,Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.
6,Item 6,Category B,2021-11-30,39.27,"Lorem ipsum dolor sit amet, consectetur adipiscing elit."
7,Item 7,Category C,2023-10-08,24.54,Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.
8,Item 8,Category B,2022-12-01,95.75,"Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat."
9,Item 9,Category C,2020-02-08,43.37,"Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat."
10,Item 10,Category B,2021-06-05,70.73,"Lorem ipsum dolor sit amet, consectetur adipiscing elit."
11,Item 11,Category B,2022-02-23,79.45,"Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
12,Item 12,Category A,2021-07-25,29.53,Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.
13,Item 13,Category B,2022-01-26,36.0,Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.
14,Item 14,Category A,2022-05-25,36.05,Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur.
15,Item 15,Category B,2022-08-01,39.84,"Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat."
16,Item 16,Category D,2022-12-11,65.34,Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur.
17,Item 17,Category C,2021-03-08,60.55,"Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
18,Item 18,Category C,2022-07-03,88.72,Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.
19,Item 19,Category C,2023-11-30,28.62,Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.
20,Item 20,Category B,2023-10-08,73.74,Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.
21,Item 21,Category B,2023-05-19,93.75,Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.
22,Item 22,Category C,2022-09-29,87.62,"Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat."
23,Item 23,Category A,2023-10-01,19.17,"Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
24,Item 24,Category D,2020-10-19,65.28,"Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
25,Item 25,Category A,2022-04-10,83.02,"Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
26,Item 26,Category C,2021-08-09,69.62,"Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat."
27,Item 27,Category B,2023-04-21,37.51,"Lorem ipsum dolor sit amet, consectetur adipiscing elit."
28,Item 28,Category A,2023-03-31,78.92,"Lorem ipsum dolor sit amet, consectetur adipiscing elit."
29,Item 29,Category D,2020-09-29,30.1,Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur.
30,Item 30,Category D,2022-02-04,98.79,"Lorem ipsum dolor sit amet, consectetur adipiscing elit."
31,Item 31,Category C,2022-01-20,55.47,"Lorem ipsum dolor sit amet, consectetur adipiscing elit."
32,Item 32,Category A,2022-06-17,40.07,"Lorem ipsum dolor sit amet, consectetur adipiscing elit."
33,Item 33,Category D,2020-10-05,58.67,"Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat."
34,Item 34,Category B,2020-05-23,4.91,Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur.
35,Item 35,Category C,2021-12-07,33.42,Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.
36,Item 36,Category D,2020-11-24,57.73,Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.
37,Item 37,Category A,2022-10-26,80.39,Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.
38,Item 38,Category B,2023-11-03,85.78,Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur.
39,Item 39,Category A,2022-10-31,57.61,Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur.
40,Item 40,Category B,2022-11-13,9.17,"Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
41,Item 41,Category C,2023-06-12,94.25,Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur.
